"","date","datatype","station","value","fl_m","fl_q","fl_so","fl_t"
"1","2016-02-01T00:00:00","AWND","GHCND:USW00014836",28,"","","W",""
"2","2016-02-01T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"3","2016-02-01T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"4","2016-02-01T00:00:00","TAVG","GHCND:USW00014836",33,"H","","S",""
"5","2016-02-01T00:00:00","TMAX","GHCND:USW00014836",67,"","","W","2400"
"6","2016-02-01T00:00:00","TMIN","GHCND:USW00014836",-38,"","","W","2400"
"7","2016-02-01T00:00:00","WDF2","GHCND:USW00014836",290,"","","W",""
"8","2016-02-01T00:00:00","WSF2","GHCND:USW00014836",76,"","","W",""
"9","2016-02-01T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"10","2016-02-02T00:00:00","AWND","GHCND:USW00014836",38,"","","W",""
"11","2016-02-02T00:00:00","PRCP","GHCND:USW00014836",109,"","","W","2400"
"12","2016-02-02T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"13","2016-02-02T00:00:00","TAVG","GHCND:USW00014836",-8,"H","","S",""
"14","2016-02-02T00:00:00","TMAX","GHCND:USW00014836",39,"","","W","2400"
"15","2016-02-02T00:00:00","TMIN","GHCND:USW00014836",-49,"","","W","2400"
"16","2016-02-02T00:00:00","WDF2","GHCND:USW00014836",100,"","","W",""
"17","2016-02-02T00:00:00","WSF2","GHCND:USW00014836",112,"","","W",""
"18","2016-02-02T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"19","2016-02-03T00:00:00","AWND","GHCND:USW00014836",60,"","","W",""
"20","2016-02-03T00:00:00","PRCP","GHCND:USW00014836",18,"","","W","2400"
"21","2016-02-03T00:00:00","SNOW","GHCND:USW00014836",3,"","","W",""
"22","2016-02-03T00:00:00","TAVG","GHCND:USW00014836",31,"H","","S",""
"23","2016-02-03T00:00:00","TMAX","GHCND:USW00014836",67,"","","W","2400"
"24","2016-02-03T00:00:00","TMIN","GHCND:USW00014836",-5,"","","W","2400"
"25","2016-02-03T00:00:00","WDF2","GHCND:USW00014836",220,"","","W",""
"26","2016-02-03T00:00:00","WSF2","GHCND:USW00014836",143,"","","W",""
"27","2016-02-03T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"28","2016-02-04T00:00:00","AWND","GHCND:USW00014836",35,"","","W",""
"29","2016-02-04T00:00:00","PRCP","GHCND:USW00014836",30,"","","W","2400"
"30","2016-02-04T00:00:00","SNOW","GHCND:USW00014836",56,"","","W",""
"31","2016-02-04T00:00:00","TAVG","GHCND:USW00014836",-11,"H","","S",""
"32","2016-02-04T00:00:00","TMAX","GHCND:USW00014836",0,"","","W","2400"
"33","2016-02-04T00:00:00","TMIN","GHCND:USW00014836",-66,"","","W","2400"
"34","2016-02-04T00:00:00","WDF2","GHCND:USW00014836",270,"","","W",""
"35","2016-02-04T00:00:00","WSF2","GHCND:USW00014836",76,"","","W",""
"36","2016-02-04T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"37","2016-02-05T00:00:00","AWND","GHCND:USW00014836",33,"","","W",""
"38","2016-02-05T00:00:00","PRCP","GHCND:USW00014836",3,"","","W","2400"
"39","2016-02-05T00:00:00","SNOW","GHCND:USW00014836",5,"","","W",""
"40","2016-02-05T00:00:00","TAVG","GHCND:USW00014836",-36,"H","","S",""
"41","2016-02-05T00:00:00","TMAX","GHCND:USW00014836",17,"","","W","2400"
"42","2016-02-05T00:00:00","TMIN","GHCND:USW00014836",-77,"","","W","2400"
"43","2016-02-05T00:00:00","WDF2","GHCND:USW00014836",270,"","","W",""
"44","2016-02-05T00:00:00","WSF2","GHCND:USW00014836",58,"","","W",""
"45","2016-02-05T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"46","2016-02-06T00:00:00","AWND","GHCND:USW00014836",42,"","","W",""
"47","2016-02-06T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"48","2016-02-06T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"49","2016-02-06T00:00:00","TAVG","GHCND:USW00014836",-19,"H","","S",""
"50","2016-02-06T00:00:00","TMAX","GHCND:USW00014836",28,"","","W","2400"
"51","2016-02-06T00:00:00","TMIN","GHCND:USW00014836",-66,"","","W","2400"
"52","2016-02-06T00:00:00","WDF2","GHCND:USW00014836",210,"","","W",""
"53","2016-02-06T00:00:00","WSF2","GHCND:USW00014836",94,"","","W",""
"54","2016-02-06T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"55","2016-02-07T00:00:00","AWND","GHCND:USW00014836",51,"","","W",""
"56","2016-02-07T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"57","2016-02-07T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"58","2016-02-07T00:00:00","TAVG","GHCND:USW00014836",29,"H","","S",""
"59","2016-02-07T00:00:00","TMAX","GHCND:USW00014836",83,"","","W","2400"
"60","2016-02-07T00:00:00","TMIN","GHCND:USW00014836",0,"","","W","2400"
"61","2016-02-07T00:00:00","WDF2","GHCND:USW00014836",200,"","","W",""
"62","2016-02-07T00:00:00","WSF2","GHCND:USW00014836",103,"","","W",""
"63","2016-02-08T00:00:00","AWND","GHCND:USW00014836",30,"","","W",""
"64","2016-02-08T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"65","2016-02-08T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"66","2016-02-08T00:00:00","TAVG","GHCND:USW00014836",20,"H","","S",""
"67","2016-02-08T00:00:00","TMAX","GHCND:USW00014836",44,"","","W","2400"
"68","2016-02-08T00:00:00","TMIN","GHCND:USW00014836",-16,"","","W","2400"
"69","2016-02-08T00:00:00","WDF2","GHCND:USW00014836",300,"","","W",""
"70","2016-02-08T00:00:00","WSF2","GHCND:USW00014836",63,"","","W",""
"71","2016-02-09T00:00:00","AWND","GHCND:USW00014836",58,"","","W",""
"72","2016-02-09T00:00:00","PRCP","GHCND:USW00014836",18,"","","W","2400"
"73","2016-02-09T00:00:00","SNOW","GHCND:USW00014836",20,"","","W",""
"74","2016-02-09T00:00:00","TAVG","GHCND:USW00014836",-13,"H","","S",""
"75","2016-02-09T00:00:00","TMAX","GHCND:USW00014836",6,"","","W","2400"
"76","2016-02-09T00:00:00","TMIN","GHCND:USW00014836",-55,"","","W","2400"
"77","2016-02-09T00:00:00","WDF2","GHCND:USW00014836",290,"","","W",""
"78","2016-02-09T00:00:00","WSF2","GHCND:USW00014836",89,"","","W",""
"79","2016-02-09T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"80","2016-02-10T00:00:00","AWND","GHCND:USW00014836",62,"","","W",""
"81","2016-02-10T00:00:00","PRCP","GHCND:USW00014836",3,"","","W","2400"
"82","2016-02-10T00:00:00","SNOW","GHCND:USW00014836",5,"","","W",""
"83","2016-02-10T00:00:00","TAVG","GHCND:USW00014836",-67,"H","","S",""
"84","2016-02-10T00:00:00","TMAX","GHCND:USW00014836",-55,"","","W","2400"
"85","2016-02-10T00:00:00","TMIN","GHCND:USW00014836",-116,"","","W","2400"
"86","2016-02-10T00:00:00","WDF2","GHCND:USW00014836",300,"","","W",""
"87","2016-02-10T00:00:00","WSF2","GHCND:USW00014836",107,"","","W",""
"88","2016-02-10T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"89","2016-02-11T00:00:00","AWND","GHCND:USW00014836",40,"","","W",""
"90","2016-02-11T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"91","2016-02-11T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"92","2016-02-11T00:00:00","TAVG","GHCND:USW00014836",-94,"H","","S",""
"93","2016-02-11T00:00:00","TMAX","GHCND:USW00014836",-49,"","","W","2400"
"94","2016-02-11T00:00:00","TMIN","GHCND:USW00014836",-121,"","","W","2400"
"95","2016-02-11T00:00:00","WDF2","GHCND:USW00014836",310,"","","W",""
"96","2016-02-11T00:00:00","WSF2","GHCND:USW00014836",81,"","","W",""
"97","2016-02-12T00:00:00","AWND","GHCND:USW00014836",65,"","","W",""
"98","2016-02-12T00:00:00","PRCP","GHCND:USW00014836",5,"","","W","2400"
"99","2016-02-12T00:00:00","SNOW","GHCND:USW00014836",10,"","","W",""
"100","2016-02-12T00:00:00","TAVG","GHCND:USW00014836",-83,"H","","S",""
"101","2016-02-12T00:00:00","TMAX","GHCND:USW00014836",-55,"","","W","2400"
"102","2016-02-12T00:00:00","TMIN","GHCND:USW00014836",-143,"","","W","2400"
"103","2016-02-12T00:00:00","WDF2","GHCND:USW00014836",310,"","","W",""
"104","2016-02-12T00:00:00","WSF2","GHCND:USW00014836",112,"","","W",""
"105","2016-02-12T00:00:00","WT09","GHCND:USW00014836",1,"","","W",""
"106","2016-02-13T00:00:00","AWND","GHCND:USW00014836",43,"","","W",""
"107","2016-02-13T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"108","2016-02-13T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"109","2016-02-13T00:00:00","TAVG","GHCND:USW00014836",-127,"H","","S",""
"110","2016-02-13T00:00:00","TMAX","GHCND:USW00014836",-93,"","","W","2400"
"111","2016-02-13T00:00:00","TMIN","GHCND:USW00014836",-166,"","","W","2400"
"112","2016-02-13T00:00:00","WDF2","GHCND:USW00014836",300,"","","W",""
"113","2016-02-13T00:00:00","WSF2","GHCND:USW00014836",98,"","","W",""
"114","2016-02-14T00:00:00","AWND","GHCND:USW00014836",36,"","","W",""
"115","2016-02-14T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"116","2016-02-14T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"117","2016-02-14T00:00:00","TAVG","GHCND:USW00014836",-126,"H","","S",""
"118","2016-02-14T00:00:00","TMAX","GHCND:USW00014836",-77,"","","W","2400"
"119","2016-02-14T00:00:00","TMIN","GHCND:USW00014836",-177,"","","W","2400"
"120","2016-02-14T00:00:00","WDF2","GHCND:USW00014836",140,"","","W",""
"121","2016-02-14T00:00:00","WSF2","GHCND:USW00014836",81,"","","W",""
"122","2016-02-15T00:00:00","AWND","GHCND:USW00014836",31,"","","W",""
"123","2016-02-15T00:00:00","PRCP","GHCND:USW00014836",5,"","","W","2400"
"124","2016-02-15T00:00:00","SNOW","GHCND:USW00014836",5,"","","W",""
"125","2016-02-15T00:00:00","TAVG","GHCND:USW00014836",-74,"H","","S",""
"126","2016-02-15T00:00:00","TMAX","GHCND:USW00014836",-32,"","","W","2400"
"127","2016-02-15T00:00:00","TMIN","GHCND:USW00014836",-93,"","","W","2400"
"128","2016-02-15T00:00:00","WDF2","GHCND:USW00014836",130,"","","W",""
"129","2016-02-15T00:00:00","WSF2","GHCND:USW00014836",67,"","","W",""
"130","2016-02-15T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"131","2016-02-16T00:00:00","AWND","GHCND:USW00014836",17,"","","W",""
"132","2016-02-16T00:00:00","PRCP","GHCND:USW00014836",15,"","","W","2400"
"133","2016-02-16T00:00:00","SNOW","GHCND:USW00014836",30,"","","W",""
"134","2016-02-16T00:00:00","TAVG","GHCND:USW00014836",-29,"H","","S",""
"135","2016-02-16T00:00:00","TMAX","GHCND:USW00014836",-16,"","","W","2400"
"136","2016-02-16T00:00:00","TMIN","GHCND:USW00014836",-38,"","","W","2400"
"137","2016-02-16T00:00:00","WDF2","GHCND:USW00014836",290,"","","W",""
"138","2016-02-16T00:00:00","WSF2","GHCND:USW00014836",54,"","","W",""
"139","2016-02-16T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"140","2016-02-17T00:00:00","AWND","GHCND:USW00014836",26,"","","W",""
"141","2016-02-17T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"142","2016-02-17T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"143","2016-02-17T00:00:00","TAVG","GHCND:USW00014836",-25,"H","","S",""
"144","2016-02-17T00:00:00","TMAX","GHCND:USW00014836",-10,"","","W","2400"
"145","2016-02-17T00:00:00","TMIN","GHCND:USW00014836",-116,"","","W","2400"
"146","2016-02-17T00:00:00","WDF2","GHCND:USW00014836",320,"","","W",""
"147","2016-02-17T00:00:00","WSF2","GHCND:USW00014836",72,"","","W",""
"148","2016-02-17T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"149","2016-02-18T00:00:00","AWND","GHCND:USW00014836",48,"","","W",""
"150","2016-02-18T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"151","2016-02-18T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"152","2016-02-18T00:00:00","TAVG","GHCND:USW00014836",-72,"H","","S",""
"153","2016-02-18T00:00:00","TMAX","GHCND:USW00014836",11,"","","W","2400"
"154","2016-02-18T00:00:00","TMIN","GHCND:USW00014836",-155,"","","W","2400"
"155","2016-02-18T00:00:00","WDF2","GHCND:USW00014836",160,"","","W",""
"156","2016-02-18T00:00:00","WSF2","GHCND:USW00014836",98,"","","W",""
"157","2016-02-19T00:00:00","AWND","GHCND:USW00014836",110,"","","W",""
"158","2016-02-19T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"159","2016-02-19T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"160","2016-02-19T00:00:00","TAVG","GHCND:USW00014836",57,"H","","S",""
"161","2016-02-19T00:00:00","TMAX","GHCND:USW00014836",156,"","","W","2400"
"162","2016-02-19T00:00:00","TMIN","GHCND:USW00014836",6,"","","W","2400"
"163","2016-02-19T00:00:00","WDF2","GHCND:USW00014836",240,"","","W",""
"164","2016-02-19T00:00:00","WSF2","GHCND:USW00014836",210,"","","W",""
"165","2016-02-20T00:00:00","AWND","GHCND:USW00014836",71,"","","W",""
"166","2016-02-20T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"167","2016-02-20T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"168","2016-02-20T00:00:00","TAVG","GHCND:USW00014836",88,"H","","S",""
"169","2016-02-20T00:00:00","TMAX","GHCND:USW00014836",122,"","","W","2400"
"170","2016-02-20T00:00:00","TMIN","GHCND:USW00014836",33,"","","W","2400"
"171","2016-02-20T00:00:00","WDF2","GHCND:USW00014836",250,"","","W",""
"172","2016-02-20T00:00:00","WSF2","GHCND:USW00014836",139,"","","W",""
"173","2016-02-21T00:00:00","AWND","GHCND:USW00014836",28,"","","W",""
"174","2016-02-21T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"175","2016-02-21T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"176","2016-02-21T00:00:00","TAVG","GHCND:USW00014836",38,"H","","S",""
"177","2016-02-21T00:00:00","TMAX","GHCND:USW00014836",50,"","","W","2400"
"178","2016-02-21T00:00:00","TMIN","GHCND:USW00014836",0,"","","W","2400"
"179","2016-02-21T00:00:00","WDF2","GHCND:USW00014836",30,"","","W",""
"180","2016-02-21T00:00:00","WSF2","GHCND:USW00014836",67,"","","W",""
