museum,lat,lng,Presidential Library
Abraham Linocln Presidential Museum,39.803323,-89.647229,Yes
William J. Clinton Library and Museum,34.746427,-92.2585,Yes
Milwaukee Art Museum,43.039437,-87.896713,No
Harley-Davidson Museum,43.031472,-87.916779,No
The Hermitage,36.214304,-86.615115,Yes
President James K. Polk Home and Museum,35.614919,-87.037491,Yes
National Civil Rights Museum,35.134642,-90.057583,No
George H.W. Bush Presidential Library and Museum,30.596558,-96.353559,Yes
Atlanta History Center,33.841997,-84.386037,No
Jimmy Carter Presidential Library and Museum,33.766191,-84.356394,Yes
"Martin Luther King, Jr. National Historical Park",33.756326,-84.373604,No
World of Coca-Cola,33.762883,-84.392902,No
Smithsonian National Air and Space Museum,38.888046,-77.01992,No
Hirshhorn Museum,38.888147,-77.023046,No
Smithsonian National Museum of American History,38.891134,-77.030101,No
Smithsonian National Museum of Natural History,38.8911,-77.026029,No
National Galary of Art,38.891136,-77.019915,No
United States Botanic Garden,38.887948,-77.012959,No
George Washington's Mount Vernon,38.708117,-77.08641,Yes
Federal Reserve Bank of St Louis,38.629159,-90.187815,No
LBJ Presidential Library,30.285749,-97.729451,Yes
Houston Museum of Natural Science,29.721981,-95.38947,No
National Museum of the Pacific War,30.272889,-98.867571,No
Colonial Williamsburg Hisoric Area,37.279175,-76.698798,No
Monticello,38.010313,-78.452324,Yes
Montpelier,38.218862,-78.168513,Yes
James Monroe Museum and Memorial Library,38.302523,-77.461662,Yes
Woodrow Wilson Presidential Library and Museum,38.150031,-79.068843,Yes
